Season,Round,EventName,Abbreviation,TeamName,GridPosition,Q1_s,Q2_s,Q3_s,Position
2023,4,Azerbaijan Grand Prix,PER,Red Bull Racing,3.0,101.131,101.131,100.495,1.0
2023,4,Azerbaijan Grand Prix,VER,Red Bull Racing,2.0,101.398,100.822,100.391,2.0
2023,4,Azerbaijan Grand Prix,LEC,Ferrari,1.0,101.269,101.037,100.203,3.0
2023,4,Azerbaijan Grand Prix,ALO,Aston Martin,6.0,101.72,101.37,101.253,4.0
2023,4,Azerbaijan Grand Prix,SAI,Ferrari,4.0,102.197,101.016,101.016,5.0
2023,4,Azerbaijan Grand Prix,HAM,Mercedes,5.0,102.113,101.177,101.177,6.0
2023,4,Azerbaijan Grand Prix,STR,Aston Martin,9.0,102.524,101.576,101.611,7.0
2023,4,Azerbaijan Grand Prix,RUS,Mercedes,11.0,102.073,101.654,9999.0,8.0
2023,4,Azerbaijan Grand Prix,NOR,McLaren,7.0,102.154,101.485,101.281,9.0
2023,4,Azerbaijan Grand Prix,TSU,AlphaTauri,8.0,102.234,101.569,101.581,10.0
2023,4,Azerbaijan Grand Prix,PIA,McLaren,10.0,102.455,101.636,101.611,11.0
2023,4,Azerbaijan Grand Prix,ALB,Williams,12.0,102.171,101.818,9999.0,12.0
2023,4,Azerbaijan Grand Prix,MAG,Haas F1 Team,16.0,103.417,9999.0,9999.0,13.0
2023,4,Azerbaijan Grand Prix,GAS,Alpine,17.0,104.853,9999.0,9999.0,14.0
2023,4,Azerbaijan Grand Prix,OCO,Alpine,19.0,102.622,101.798,9999.0,15.0
2023,4,Azerbaijan Grand Prix,SAR,Williams,14.0,102.242,102.395,9999.0,16.0
2023,4,Azerbaijan Grand Prix,HUL,Haas F1 Team,20.0,102.755,9999.0,9999.0,17.0
2023,4,Azerbaijan Grand Prix,BOT,Alfa Romeo,13.0,102.582,102.259,9999.0,18.0
2023,4,Azerbaijan Grand Prix,ZHO,Alfa Romeo,15.0,102.642,9999.0,9999.0,19.0
2023,4,Azerbaijan Grand Prix,DEV,AlphaTauri,18.0,115.282,9999.0,9999.0,20.0
